uv	0.12.15+1
vite-plus	v0.3.2+1
eza	v0.23.5+3
lazygit	v0.65.1+1
ruff	0.16.7+1
bun	bun-v1.4.2+1
deno	v2.9.6+1
duckdb	v1.5.5+1
lazydocker	v0.25.2+1
ripgrep	15.2.0+1
fd	v10.5.0+1
fzf	v0.74.4+1
starship	v1.26.0+1
just	1.58.0+1
hyperfine	v1.20.0+1
k9s	v0.51.0+1
atuin	v18.22.0+1
xh	v0.26.2+1
yq	v4.53.6+1
du-dust	v1.2.5+1
procs	v0.14.12+1
bottom	0.14.9+1
bat	v0.26.1+1
zoxide	v0.10.0+1
git-delta	0.19.2+1
jj	v0.45.1+1
gitui	v0.28.1+1
fresh-editor	v0.5.1+1
nushell	0.115.1+1
dive	v0.13.1+1
superfile	v1.6.0+1
pnpm	v12.4.2+1
act	v0.2.89+1
zed	v1.19.2+1
rclone	v1.75.1+1
k6	v2.2.0+1
difftastic	0.70.0+1
vhs	v0.12.0+1
yazi	v26.9.1+1
zellij	v0.45.1+1
neovim	v0.12.5+1
gh	v2.101.0+1
mise	v2026.9.9+1
gum	v2.0.1+1
fastfetch	2.68.1+1
buf	v1.72.0+1
sd	v1.1.0+1
scc	v4.1.0+1
trivy	v0.74.0+2
helix	25.07.1+1
fish	4.9.3+1
hexyl	v0.17.0+1
joshuto	v0.9.9+1
lf	r42+1
watchexec	v2.7.3+1
herdr	v0.9.0+1
oh-my-posh	v31.3.0+1
uncloud	v0.20.0+1
workmux	v0.1.262+1
dasel	v3.11.2+1
vicinae	v0.28.2+1
quickshell	v0.3.1+2
